age,gender,budget,noOfStays,timing,typeOfTravel,destination,activities,transport,planning,package,foodplace,attractions,accommodation,cancelPolicy
20,Female,700,5,End of the year,Backpacking,Islands,Water activities,Trains,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
21,Male,3000,14,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Chalets,Yes
45,Male,2000,7,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Apartments,Yes
22,Male,5000,5,End of the year,Backpacking,Islands,Water activities,Booking a flight,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
25,Male,4500,7,End of the year,Backpacking,Towns,Leisure activities,Booking a flight,Tour,Yes,Hotel buffet,Man-made Attractions,Hotels,Yes
22,Female,1500,3,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Cultural Attractions,Resorts,Yes
25,Male,4500,7,End of the year,Backpacking,Towns,Leisure activities,Booking a flight,Tour,Yes,Hotel buffet,Man-made Attractions,Hotels,Yes
29,Female,1200,3,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
36,Female,2000,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
24,Female,1500,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Hotels,Yes
29,Male,2000,5,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Natural Attractions,Resorts,Yes
21,Female,1500,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Hotels,Yes
26,Female,1400,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
23,Female,250,3,Middle of the year,Backpacking,Islands,Outdoor activities,Personal Vehicle,Tour,Yes,Hotel buffet,Man-made Attractions,Apartments,Yes
21,Male,6000,14,End of the year,Backpacking,Islands,Outdoor activities,Personal Vehicle,Self Explore,Yes,Hotel buffet,Natural Attractions,Chalets,Yes
21,Male,3000,11,Early of the year,Normal travel,Islands,Leisure activities,Trains,Tour,Yes,Western/Steak house,Man-made Attractions,Resorts,Yes
21,Male,1000,4,End of the year,Normal travel,Islands,Outdoor activities,Trains,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
21,Male,400,2,Middle of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Natural Attractions,Resorts,No
40,Male,100,3,Early of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,Yes,Hotel buffet,Natural Attractions,Hotels,Yes
21,Male,1000,7,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,No,Nasi padang/campur,Cultural Attractions,Hotels,No
25,Male,1200,4,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Hotels,Yes
19,Male,5000,7,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Resorts,No
22,Male,1000,5,Middle of the year,Backpacking,Islands,Outdoor activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
22,Female,2500,3,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Apartments,Yes
29,Male,1500,3,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Apartments,Yes
18,Female,1000,4,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Cultural Attractions,Resorts,Yes
19,Female,600,3,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Tour,No,Nasi padang/campur,Man-made Attractions,Chalets,Yes
27,Male,400,14,End of the year,Backpacking,Islands,Water activities,Booking a flight,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
21,Female,350,3,End of the year,Normal travel,Islands,Leisure activities,Trains,Tour,Yes,Seafood Restaurants,Natural Attractions,Resorts,Yes
21,Female,500,3,Early of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Resorts,Yes
21,Female,200,1,Middle of the year,Normal travel,Towns,Outdoor activities,Booking a flight,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
21,Male,1600,3,End of the year,Backpacking,Islands,Outdoor activities,Personal Vehicle,Self Explore,Yes,Western/Steak house,Cultural Attractions,Hotels,Yes
21,Female,5000,5,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Tour,Yes,Hotel buffet,Cultural Attractions,Resorts,Yes
24,Male,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Apartments,Yes
23,Female,1500,4,Middle of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,Yes,Hotel buffet,Cultural Attractions,Resorts,Yes
18,Male,3000,3,Early of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Tour,Yes,Western/Steak house,Natural Attractions,Hotels,No
24,Female,1500,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Hotels,Yes
38,Male,5000,5,Middle of the year,Normal travel,Islands,Leisure activities,Booking a flight,Tour,Yes,Seafood Restaurants,Cultural Attractions,Resorts,Yes
